Legislatur,f,m
46,4.51063829787234,3.411764705882353
47,5.615384615384615,4.391891891891892
48,8.88135593220339,6.773049645390071
49,6.310344827586207,5.838028169014085
50,6.328125,6.625
51,2.238095238095238,2.0948275862068964
