ID,PersonNumber,PersonIdCode,LastName,FirstName,GenderAsString
168,168,2341,Plattner,Gian-Reto,m
169,169,2315,Poncet,Charles,m
170,170,2316,Raggenbass,Hansueli,m
171,171,2142,Rebeaud,Laurent,m
172,172,2143,Rechsteiner,Paul,m
173,173,2147,Reimann,Maximilian,m
174,174,2232,Reymond,Hubert,m
175,175,2233,Rhinow,René,m
176,176,2256,Rhyner,Kaspar,m
177,177,2317,Robert-Bächtold,Leni,f
178,178,2148,Rohrbasser,Bernard,m
179,179,2234,Roth,Jean-François,m
180,180,2149,Ruckstuhl,Hans,m
181,181,2235,Rüesch,Ernst,m
182,182,2150,Ruf,Markus,m
183,183,2151,Ruffy,Victor,m
184,184,2152,Rutishauser,Paul,m
185,185,2154,Rychen,Albrecht,m
186,186,2156,Salvioni,Sergio,m
187,187,2318,Sandoz,Suzette,f
188,188,2158,Savary,Pierre,m
189,189,2259,Schallberger,Peter-Josef,m
190,190,2159,Scheidegger,Urs,m
191,191,2160,Scherrer,Jürg,m
192,192,2319,Scherrer,Werner,m
193,193,2320,Scheurer,Rémy,m
194,194,2257,Schiesser,Fritz,m
195,195,2236,Schmid-Sutter,Carlo,m
196,196,2161,Schmid,Peter,m
197,197,2162,Schmidhalter,Paul,m
198,198,2321,Schmied,Walter,m
199,199,2163,Schnider,Theodor,m
200,200,2237,Schoch,Otto,m
201,201,2164,Schüle,Kurt,m
202,202,2165,Schwab,Heinz,m
203,203,2166,Segmüller,Eva,f
204,204,2239,Seiler,Bernhard,m
205,205,2168,Seiler,Hanspeter,m
206,206,2169,Seiler,Rolf,m
207,207,2322,Sieber,Ernst,m
209,209,2240,Simmen,Rosemarie,f
210,210,2171,Spielmann,Jean,m
211,211,2172,Spoerry,Vreni,f
212,212,2297,Stalder,Fritz,m
213,213,2173,Stamm,Judith,f
214,214,2323,Stamm,Luzi,m
215,215,2175,Steffen,Hans,m
216,216,2324,Steiger,Hans,m
217,217,2176,Steinegger,Franz,m
218,218,2325,Steinemann,Walter,m
219,219,2326,Strahm,Rudolf,m
220,220,2178,Stucky,Georg,m
221,221,2327,Suter,Marc Frédéric,m
222,222,2179,Theubet,Gabriel,m
223,223,2180,Thür,Hanspeter,m
224,224,2328,Tschäppät,Alexander,m
225,225,2329,Tschopp,Peter,m
226,226,2181,Tschuppert,Karl,m
227,227,2241,Uhlmann,Hans,m
228,228,2330,Vetterli,Werner,m
229,229,2251,Vollmer,Peter,m
230,230,2184,Wanner,Christian,m
231,231,2243,Weber,Monika,f
232,232,2186,Weder,Hansjürg,m
233,233,2331,Wick,Hugo,m
234,234,2190,Wiederkehr,Roland,m
235,235,2332,Wittenwiler,Milli,f
236,236,2191,Wyss,Paul,m
237,237,2192,Wyss,William,m
238,238,2195,Ziegler,Jean,m
239,239,2244,Ziegler,Oswald,m
240,240,2245,Zimmerli,Ulrich,m
241,241,2333,Zisyadis,Josef,m
242,242,2196,Zölch,Elisabeth,f
243,243,2197,Züger,Arthur,m
244,244,2334,Zwahlen,Jean-Claude,m
245,245,2199,Zwygart,Otto,m
246,246,2012,Béguelin,Michel,m
247,247,2013,Berger,Jean-Pierre,m
248,248,2278,Camponovo,Geo,m
249,249,2068,Friderici,Charles,m
250,250,2074,Gros,Jean-Michel,m
251,251,2091,Iten,Joseph,m
252,252,2120,Mühlemann,Ernst,m
253,253,2342,Graber,Rolf,m
254,254,2343,Steiner,Rudolf,m
255,255,2193,Zbinden,Hans,m
257,257,2344,Schweingruber,Alain,m
258,258,2345,Lepori Bonetti,Mimi,f
259,259,2198,Zwingli,Walter,m
260,260,2252,Baerlocher,Thomas,m
261,261,2346,Ostermann,Roland,m
264,264,2347,Weyeneth,Hermann,m
265,265,2350,Bugnon,Fabienne,f
266,266,2349,Cornaz,Stefan,m
267,267,2348,Schmid,Samuel,m
268,268,2351,Schenk,Simon,m
269,269,2352,Baumann,Stephanie,f
271,271,2353,Singeisen,Verena,f
273,273,2354,Gadient,Brigitta M.,f
274,274,2355,Prongué,Marie-Madeleine,f
275,275,2359,Maissen,Theo,m
276,276,2357,Brändli,Christoffel,m
277,277,2356,Bieri,Peter,m
278,278,2358,Carnat,Nicolas,m
279,279,2360,Bignasca,Giuliano,m
280,280,2361,Langenberger,Christiane,f
281,281,2362,Frainier,Hubert,m
282,282,2107,Luder,Paul,m
293,293,2363,Eberhard-Halter,Barbara,f
294,294,2364,Rohr,Rudolf,m
298,298,2365,Aeppli,Regine,f
300,300,2366,Alder,Fredi,m
301,301,2367,Banga,Boris,m
303,303,2368,Bangerter,Käthi,f
304,304,2369,Baumann,J. Alexander,m
305,305,2370,Berberat,Didier,m
306,306,2371,Blaser,Emmanuella,f
307,307,2372,Brunner,Toni,m
308,308,2428,von Allmen,Hansueli,m
309,309,2373,Cavalli,Franco,m
310,310,2374,Chiffelle,Pierre,m
311,311,2375,Christen,Yves,m
312,312,2376,Ducrot,Rose-Marie,f
313,313,2377,Dupraz,John,m
314,314,2378,Durrer,Adalbert,m
315,315,2379,Eberhard,Toni,m
316,316,2380,Egerszegi-Obrist,Christine,f
317,317,2381,Ehrler,Melchior,m
318,318,2382,Engelberger,Edi,m
319,319,2383,Fehr,Hans,m
320,320,2384,Filliez,Jean-Jérôme,m
321,321,2385,Föhn,Peter,m
322,322,2386,Freund,Jakob,m
323,323,2387,Grobet,Christian,m
324,324,2388,Gross,Jost,m
325,325,2389,Guisan,Yves,m
326,326,2076,Günter,Paul,m
327,327,2390,Gusset,Wilfried Ernest,m
328,328,2391,Gysin,Remo,m
329,329,2392,Hilber,Kathrin,f
330,330,2393,Hochreutener,Norbert,m
331,331,2394,Hubmann,Vreni,f
332,332,2395,Imhof,Rudolf,m
333,333,2396,Jans,Armin,m
334,334,2397,Jutzet,Erwin,m
335,335,2398,Kofmel,Peter,m
336,336,2399,Kunz,Josef,m
337,337,2400,Lachat,François,m
338,338,2401,Lauper,Hubert,m
339,339,2402,Loretan,Otto G.,m
340,340,2403,Lötscher,Josef,m
341,341,2405,Maury Pasquier,Liliane,f
342,342,2406,Müller,Erich,m
343,343,2407,Müller-Hemmi,Vreni,f
344,344,2408,Oehrli,Fritz Abraham,m
345,345,2409,Pelli,Fulvio,m
346,346,2410,Randegger,Johannes,m
347,347,2411,Ratti,Remigio,m
348,348,2412,Rechsteiner,Rudolf,m
349,349,2413,Rennwald,Jean-Claude,m
350,350,2436,Bernasconi,Maria,f
351,351,2414,Sandoz,Marcel,m
352,352,2415,Schlüer,Ulrich,m
353,353,2416,Schmid,Odilo,m
354,354,2417,Semadeni,Silva,f
355,355,2418,Simon,Jean-Charles,m
356,356,2419,Speck,Christian,m
357,357,2420,Straumann,Walter,m
358,358,2421,Stump,Doris,f
359,359,2422,Teuscher,Franziska,f
360,360,2423,Thanei,Anita,f
361,361,2424,Theiler,Georges,m
362,362,2425,Vallender,Dorle,f
363,363,2426,Vermot-Mangold,Ruth-Gaby,f
364,364,2427,Vogel,Daniel,m
365,365,2429,Weber,Agnes,f
366,366,2430,Weigelt,Peter,m
367,367,2189,Widrig,Hans Werner,m
368,368,2431,Zapfl,Rosmarie,f
369,369,2440,Aeby,Pierre,m
370,370,2432,Forster-Vannini,Erika,f
371,371,2433,Gentil,Pierre-Alain,m
372,372,2443,Inderkum,Hansheiri,m
373,373,2437,Leumann,Helen,f
374,374,2441,Marty,Dick,m
375,375,2434,Paupe,Pierre,m
376,376,2442,Respini,Renzo,m
377,377,2439,Rochat,Eric,m
378,378,2435,Saudan,Françoise,f
379,379,2438,Wicki,Franz,m
380,380,2444,Hasler,Ernst,m
385,385,2445,Bosshard,Walter,m
390,390,2446,Widmer,Hans,m
394,394,2447,Jaquet-Berger,Christiane,f
395,395,2448,Fässler-Osterwalder,Hildegard,f
396,396,2449,Waber,Christian,m
397,397,2450,Burgener,Thomas,m
398,398,2451,Merz,Hans-Rudolf,m
399,399,2452,Heim,Alex,m
402,402,2453,Keller,Christine,f
403,403,2460,Hofmann,Hans,m
404,404,2454,Baader,Caspar,m
405,405,2455,Fehr,Jacqueline,f
406,406,2456,Antille,Charles-Albert,m
407,407,2457,Genner,Ruth,f
408,408,2458,Jenny,This,m
409,409,2459,Hess,Hans,m
418,418,2462,Debons,Gilbert,m
419,419,2461,Beck,Serge,m
421,421,2463,Florio,Marguerite,f
422,422,2464,Donati,Franco,m
423,423,2465,Geiser,Barbara,f
425,425,2466,Schweiger,Rolf,m
426,426,1084,Koller,Arnold,m
427,427,1082,Cotti,Flavio,m
428,428,2132,Ogi,Adolf,m
429,429,2242,Villiger,Kaspar,m
430,430,2566,Dreifuss,Ruth,f
432,432,2469,Kuhn,Katrin,f
433,433,2468,Kalbermatten,Ruth,f
434,434,2467,Ammann,Regina,f
435,435,2470,Meyer-Kaelin,Thérèse,f
436,436,2471,Schaller,Anton,m
440,440,2472,Jossen,Peter,m
449,449,2473,Aeschbacher,Ruedi,m
450,450,2474,Bader,Elvira,f
451,451,2475,Bernasconi,Madeleine,f
452,452,2476,Bigger,Elmar,m
453,453,2477,Bugnon,André,m
454,454,2478,Chappuis,Liliane,f
455,455,2479,Chevrier,Maurice,m
456,456,2480,Cina,Jean-Michel,m
457,457,2481,Cuche,Fernand,m
458,458,2482,Decurtins,Walter,m
459,459,2483,Dormond Béguelin,Marlyse,f
460,460,2484,Dunant,Jean Henri,m
461,461,2485,Estermann,Heinrich,m
462,462,2486,Fattebert,Jean,m
463,463,2487,Favre,Charles,m
464,464,2488,Fehr,Hans-Jürg,m
465,465,2489,Fehr,Mario,m
466,466,2061,Fetz,Anita,f
467,467,2490,Galli,Remo Giosué,m
468,468,2492,Gendotti,Gabriele,m
469,469,2493,Glasson,Jean-Paul,m
470,470,2494,Glur,Walter,m
471,471,2495,Gutzwiller,Felix,m
472,472,2496,Haller Vannini,Ursula,f
473,473,2497,Hassler,Hansjörg,m
474,474,2498,Hess,Bernhard,m
475,475,2499,Hess,Walter,m
476,476,2500,Hofmann,Urs,m
477,477,2501,Janiak,Claude,m
478,478,2502,Joder,Rudolf,m
479,479,2503,Kaufmann,Hans,m
480,480,2504,Keller,Robert,m
481,481,2505,Koch,Ursula,f
482,482,2506,Kurrus,Paul,m
483,483,2507,Lalive d'Epinay,Maya,f
484,484,2508,Laubacher,Otto,m
485,485,2509,Leutenegger,Hansjakob,m
487,487,2129,Leutenegger Oberholzer,Susanne,f
488,488,2510,Leuthard,Doris,f
489,489,2511,Loepfe,Arthur,m
490,490,2512,Lustenberger,Ruedi,m
491,491,2513,Maillard,Pierre-Yves,m
492,492,2514,Mariétan,Fernand,m
493,493,2515,Mathys,Hans Ulrich,m
494,494,2516,Meier-Schatz,Lucrezia,f
495,495,2517,Menétrey-Savary,Anne-Catherine,f
496,496,2518,Messmer,Werner,m
497,497,2520,Mugny,Patrice,m
498,498,2521,Neirynck,Jacques,m
499,499,2522,Pedrina,Fabio,m
500,500,2523,Pfister,Theophil,m
501,501,2524,Polla,Barbara,f
502,502,2525,Riklin,Kathy,f
503,503,2526,Robbiani,Meinrado,m
504,504,2527,Rossini,Stéphane,m
505,505,2528,Ruey,Claude,m
506,506,2529,Scherer,Marcel,m
508,508,2530,Schneider-Ammann,Johann N.,m
509,509,2531,Schwaab,Jean Jacques,m
510,510,2532,Siegrist,Ulrich,m
511,511,2533,Simoneschi-Cortesi,Chiara,f
512,512,2534,Sommaruga,Simonetta,f
513,513,2535,Spuhler,Peter,m
514,514,2536,Stahl,Jürg,m
515,515,2537,Studer,Heiner,m
516,516,2538,Triponez,Pierre,m
517,517,2539,Vaudroz,Jean-Claude,m
518,518,2540,Vaudroz,René,m
519,519,2541,Walter,Hansjörg,m
520,520,2542,Wandfluh,Hansruedi,m
521,521,2543,Wasserfallen,Kurt,m
522,522,2544,Wyss,Ursula,f
523,523,2545,Zäch,Guido,m
524,524,2491,Garbani,Valérie,f
525,525,2546,Zanetti,Roberto,m
526,526,2547,Zuppiger,Bruno,m
527,527,2556,Tillmanns,Pierre,m
528,528,2548,Briner,Peter,m
529,529,2549,Cornu,Jean-Claude,m
530,530,2550,Slongo,Marianne,f
531,531,2551,Stadler,Hansruedi,m
532,532,2552,Stähelin,Philipp,m
534,534,2553,Wenger,Rico,m
535,535,2554,Berger,Michèle-Irène,f
536,536,2555,Studer,Jean,m
537,537,2557,Escher,Rolf,m
538,538,2559,Bürgi,Hermann,m
539,539,2558,Fünfschilling,Hans,m
540,540,2561,Lombardi,Filippo,m
541,541,2560,Pfisterer,Thomas,m
542,542,2519,Mörgeli,Christoph,m
543,543,2562,Walker,Felix,m
551,551,2563,Marty Kälin,Barbara,f
552,552,1001,Ammann,Ulrich,m
553,553,1002,Blunschy-Steiner,Elisabeth,f
554,554,1003,Bonnard,Claude,m
557,557,1004,Bratschi,Heinz,m
558,558,1005,Bürer,Kurt,m
559,559,1006,Butty,Laurent,m
560,560,1007,Camenzind,Margrit,f
561,561,1008,Candaux,Pierre-David,m
562,562,1009,Cantieni,Toni,m
563,563,1010,de Chastonay,Pierre,m
564,564,1011,Chopard,Max,m
565,565,1012,Christinat,Amélia,f
566,566,1013,Clivaz,Jean,m
567,567,1014,Cottet,Joseph,m
568,568,1015,Deneys,Heidi,f
569,569,1016,Dirren,Herbert,m
570,570,1017,Dubois,Marcel,m
571,571,1018,Dupont,Bernard,m
572,572,1019,Eggli,Albert,m
573,573,1020,Eng,Franz,m
574,574,1021,Flubacher,Karl,m
575,575,1022,Friedli,Valentine,f
576,576,1023,Gehler,Jean-Paul,m
577,577,1024,Geissbühler,Gottlieb,m
578,578,1025,Giudici,Luciano,m
579,579,1026,Gloor,Jean-Philippe,m
580,580,1027,Gurtner,Barbara,f
581,581,1028,Hofmann,Fritz,m
582,582,1029,Künzi,Hans,m
583,583,1030,Landolt,Josef,m
584,584,1031,Lüchinger,Hans-Georg,m
586,586,1032,Magnin,Armand,m
587,587,1033,Martignoni,Werner,m
588,588,1034,Meyer,Kurt,m
589,589,1035,Müller,Arnold,m
590,590,1036,Müller,Bernhard,m
591,591,1037,Nauer,Otto,m
592,592,1038,Nef,Georg,m
593,593,1039,Oehen,Valentin,m
594,594,1040,Pfund,Willy,m
595,595,1041,Renschler,Walter,m
596,596,1042,Revaclier,Jean,m
597,597,1043,Riesen,Jean,m
598,598,1044,Rime,Pierre,m
599,599,1045,Risi,Josef,m
600,600,1046,Robbiani,Dario,m
601,601,1047,Röthlin,Walter,m
603,603,1049,Ruch,Rudolf,m
605,605,1050,Schärli,Hans,m
606,606,1051,Schnyder,Heinrich,m
607,607,1052,Schwarz,Urs,m
608,608,1053,Soldini,Mario,m
609,609,1054,Stamm,Walter,m
610,610,1055,Stucki,Jakob,m
611,611,1056,Thévoz,Georges,m
612,612,1057,Vannay,Françoise,f
613,613,1058,Wagner,Paul,m
614,614,1059,Weber,Walter,m
615,615,1060,Weber,Leo,m
616,616,1061,Weber,Rolf,m
617,617,1063,Zehnder,Herbert,m
618,618,1064,Ziegler,Josef,m
619,619,1065,Arnold,Leo,m
620,620,1066,Aubert,Jean-François,m
621,621,1067,Bauer-Lagier,Monique,f
622,622,1068,Belser,Eduard,m
623,623,1069,Binder,Julius,m
624,624,1070,Bürgi,Paul,m
625,625,1071,Debétaz,Edouard,m
626,626,1072,Dreyer,Pierre,m
627,627,1073,Genoud,Guy,m
628,628,1074,Gerber,Peter,m
629,629,1075,Knüsel,Peter,m
630,630,1076,Letsch,Hans,m
631,631,1077,Matossi,Franco,m
632,632,1078,Meylan,René,m
633,633,1079,Moll,Heinz,m
634,634,1080,Muheim,Franz,m
635,635,1081,Steiner,Ernst,m
636,636,1083,Frei,Hans,m
637,637,1086,Rohrer,Hans,m
638,638,1087,Andermatt,Othmar,m
639,639,1088,Brahier,Gaston,m
640,640,1089,Hophan,Wilfried,m
641,641,1090,Schaffter,Roger,m
642,642,1091,Mascarin-Bircher,Ruth,f
643,643,1092,Dafflon,Roger,m
644,644,1093,Hegg,Jean-Jacques,m
