ID,Language,SessionNumber,SessionName,Abbreviation,StartDate,EndDate,Title,Type,TypeName,Modified,LegislativePeriodNumber
4920,DE,20,Herbstsession 2015,HS15,/Date(1441584000000)/,/Date(1443139200000)/,III/2015,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961635460)/,49
5001,DE,1,Wintersession 2015,WS15,/Date(1448841600000)/,/Date(1450396800000)/,IV/2015,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961635540)/,50
5002,DE,2,Frühjahrssession 2016,FS16,/Date(1456704000000)/,/Date(1458259200000)/,I/2016,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961635680)/,50
5003,DE,3,Sondersession April 2016,April16,/Date(1461542400000)/,/Date(1461715200000)/,,3,Sondersession (1 Woche),/Date(1598961635757)/,50
5004,DE,4,Sommersession 2016,SoSe16,/Date(1464566400000)/,/Date(1466121600000)/,Ia/II/2016,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961635820)/,50
5005,DE,5,Herbstsession 2016,HS16,/Date(1473638400000)/,/Date(1475193600000)/,III/2016,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961635897)/,50
5006,DE,6,Wintersession 2016,WS16,/Date(1480291200000)/,/Date(1481846400000)/,IV/2016,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961635943)/,50
5007,DE,7,Frühjahrssession 2017,FS17,/Date(1488153600000)/,/Date(1489708800000)/,I/2017,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961636040)/,50
5008,DE,8,Sondersession Mai 2017,Mai17,/Date(1493683200000)/,/Date(1493856000000)/,II/2017,3,Sondersession (1 Woche),/Date(1598961636147)/,50
5009,DE,9,Sommersession 2017,SoSe17,/Date(1496016000000)/,/Date(1497571200000)/,II/2017,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961636210)/,50
5010,DE,10,Herbstsession 2017,HS17,/Date(1505088000000)/,/Date(1506643200000)/,IV/2017,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961636290)/,50
5011,DE,11,Wintersession 2017,WS17,/Date(1511740800000)/,/Date(1513296000000)/,IV/2017,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961636350)/,50
5012,DE,12,Frühjahrssession 2018,FS18,/Date(1519603200000)/,/Date(1521158400000)/,I/2018,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961636443)/,50
5013,DE,13,Sommersession 2018,SoSe18,/Date(1527465600000)/,/Date(1529020800000)/,II/2018,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961636490)/,50
5014,DE,14,Herbstsession 2018,HS18,/Date(1536537600000)/,/Date(1538092800000)/,III/2018,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961636570)/,50
5015,DE,15,Wintersession 2018,WS18,/Date(1543190400000)/,/Date(1544745600000)/,IV/2018,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961636650)/,50
5016,DE,16,Frühjahrssession 2019,FS19,/Date(1551657600000)/,/Date(1553212800000)/,I/2019,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961636760)/,50
5017,DE,17,Sondersession Mai 2019,SonderMai19,/Date(1557187200000)/,/Date(1557360000000)/,Ia/2020,3,Sondersession (1 Woche),/Date(1598961636837)/,50
5018,DE,18,Sommersession 2019,SoSe19,/Date(1559520000000)/,/Date(1561075200000)/,II/2020,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961636883)/,50
5019,DE,19,Herbstsession 2019,HS19,/Date(1567987200000)/,/Date(1569542400000)/,III/2020,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961636963)/,50
5101,DE,1,Wintersession 2019,WS19,/Date(1575244800000)/,/Date(1576800000000)/,IV/2020,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961637040)/,51
5102,DE,2,Frühjahrssession 2020,FS20,/Date(1583107200000)/,/Date(1583971200000)/,I/2020,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961637103)/,51
5103,DE,3,Ausserordentliche Session Mai 2020,a.o. Session Mai 20,/Date(1588550400000)/,/Date(1588896000000)/,Ib/2020,16,Ausserordentliche Session,/Date(1598961637150)/,51
5104,DE,4,Sommersession 2020,SoSe20,/Date(1591056000000)/,/Date(1592524800000)/,II/2020,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961637197)/,51
5105,DE,5,Herbstsession 2020,HS20,/Date(1599436800000)/,/Date(1600992000000)/,III/2020,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961637290)/,51
5106,DE,6,Sondersession Oktober 2020,SonderOktober20,/Date(1603929600000)/,/Date(1604016000000)/,Ia/2021,3,Sondersession (1 Woche),/Date(1598961743617)/,51
5107,DE,7,Wintersession 2020,WS20,/Date(1606694400000)/,/Date(1608249600000)/,IV/2020,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961736787)/,51
